"Cycle","pair_id","ref_prov","other_prov","hemi_type","mean_sync","sd_across_datasets","m"
"Annual","BANGLADESH_VENEZUELA","BANGLADESH","VENEZUELA","Within",0.180552664727681,NA,50
"Annual","BANGLADESH_VIET NAM","BANGLADESH","VIET NAM","Within",0.466173548034932,NA,50
"Annual","BARBADOS_BOLIVIA","BARBADOS","BOLIVIA","Between",0.154147373127453,NA,50
"Annual","BARBADOS_BRAZIL","BARBADOS","BRAZIL","Between",0.118465884852464,NA,50
"Annual","BARBADOS_CAMBODIA","BARBADOS","CAMBODIA","Within",0.205876017516042,NA,50
"Annual","BARBADOS_CHINA","BARBADOS","CHINA","Within",0.282280288880192,NA,50
"Annual","BARBADOS_COLOMBIA","BARBADOS","COLOMBIA","Within",0.254583241780827,NA,50
"Annual","BARBADOS_COSTA RICA","BARBADOS","COSTA RICA","Within",0.22393856463123,NA,50
"Annual","BARBADOS_DOMINICAN REPUBLIC","BARBADOS","DOMINICAN REPUBLIC","Within",0.330701108967486,NA,50
"Annual","BARBADOS_ECUADOR","BARBADOS","ECUADOR","Between",0.10818505300405,NA,50
"Annual","BARBADOS_EL SALVADOR","BARBADOS","EL SALVADOR","Within",0.214881119132543,NA,50
"Annual","BARBADOS_FIJI","BARBADOS","FIJI","Between",0.140876247928208,NA,50
"Annual","BARBADOS_FRENCH GUIANA","BARBADOS","FRENCH GUIANA","Within",0.208119121479204,NA,50
"Annual","BARBADOS_FRENCH POLYNESIA","BARBADOS","FRENCH POLYNESIA","Between",0.228986376195747,NA,50
"Annual","BARBADOS_GUADELOUPE","BARBADOS","GUADELOUPE","Within",0.366215200302425,NA,50
"Annual","BARBADOS_GUATEMALA","BARBADOS","GUATEMALA","Within",0.242827684993574,NA,50
"Annual","BARBADOS_GUYANA","BARBADOS","GUYANA","Within",0.172418442136046,NA,50
"Annual","BARBADOS_HONDURAS","BARBADOS","HONDURAS","Within",0.230988304048138,NA,50
"Annual","BARBADOS_INDIA","BARBADOS","INDIA","Within",0.249285820635785,NA,50
"Annual","BARBADOS_INDONESIA","BARBADOS","INDONESIA","Within",0.174011508213561,NA,50
"Annual","BARBADOS_JAMAICA","BARBADOS","JAMAICA","Within",0.380147801345544,NA,50
"Annual","BARBADOS_LAO PEOPLE'S DEMOCRATIC REPUBLIC","BARBADOS","LAO PEOPLE'S DEMOCRATIC REPUBLIC","Within",0.194840823646154,NA,50
"Annual","BARBADOS_MALAYSIA","BARBADOS","MALAYSIA","Within",0.281562113060248,NA,50
"Annual","BARBADOS_MALDIVES","BARBADOS","MALDIVES","Between",0.134657378261859,NA,50
"Annual","BARBADOS_MARTINIQUE","BARBADOS","MARTINIQUE","Within",0.293432523609317,NA,50
"Annual","BARBADOS_MEXICO","BARBADOS","MEXICO","Within",0.243575511321819,NA,50
"Annual","BARBADOS_MYANMAR","BARBADOS","MYANMAR","Within",0.15358328569383,NA,50
"Annual","BARBADOS_NEW CALEDONIA","BARBADOS","NEW CALEDONIA","Between",0.169310346439904,NA,50
"Annual","BARBADOS_NICARAGUA","BARBADOS","NICARAGUA","Within",0.282224250949882,NA,50
"Annual","BARBADOS_PALAU","BARBADOS","PALAU","Within",0.233137698000402,NA,50
"Annual","BARBADOS_PANAMA","BARBADOS","PANAMA","Within",0.237888547567183,NA,50
"Annual","BARBADOS_PARAGUAY","BARBADOS","PARAGUAY","Between",0.198415803389833,NA,50
"Annual","BARBADOS_PERU","BARBADOS","PERU","Between",0.159701727073721,NA,50
"Annual","BARBADOS_PHILIPPINES","BARBADOS","PHILIPPINES","Within",0.233854690999172,NA,50
"Annual","BARBADOS_PUERTO RICO","BARBADOS","PUERTO RICO","Within",0.308772666378276,NA,50
"Annual","BARBADOS_SINGAPORE","BARBADOS","SINGAPORE","Within",0.243906162852926,NA,50
"Annual","BARBADOS_SRI LANKA","BARBADOS","SRI LANKA","Within",0.215620147491287,NA,50
"Annual","BARBADOS_SURINAME","BARBADOS","SURINAME","Within",0.280675490677364,NA,50
"Annual","BARBADOS_TAIWAN","BARBADOS","TAIWAN","Within",0.280634818108329,NA,50
"Annual","BARBADOS_THAILAND","BARBADOS","THAILAND","Within",0.188822842759487,NA,50
"Annual","BARBADOS_TRINIDAD AND TOBAGO","BARBADOS","TRINIDAD AND TOBAGO","Within",0.312652050225437,NA,50
"Annual","BARBADOS_VANUATU","BARBADOS","VANUATU","Between",0.15521431338881,NA,50
"Annual","BARBADOS_VENEZUELA","BARBADOS","VENEZUELA","Within",0.252695234970935,NA,50
"Annual","BARBADOS_VIET NAM","BARBADOS","VIET NAM","Within",0.260841070351131,NA,50
"Annual","BOLIVIA_BRAZIL","BOLIVIA","BRAZIL","Within",0.499479158193068,NA,50
"Annual","BOLIVIA_CAMBODIA","BOLIVIA","CAMBODIA","Between",0.0774838719395331,NA,50
"Annual","BOLIVIA_CHINA","BOLIVIA","CHINA","Between",0.0881032560087386,NA,50
"Annual","BOLIVIA_COLOMBIA","BOLIVIA","COLOMBIA","Between",0.196701042002216,NA,50
"Annual","BOLIVIA_COSTA RICA","BOLIVIA","COSTA RICA","Between",0.0773441993998631,NA,50
"Annual","BOLIVIA_DOMINICAN REPUBLIC","BOLIVIA","DOMINICAN REPUBLIC","Between",0.140564480793683,NA,50
"Annual","BOLIVIA_ECUADOR","BOLIVIA","ECUADOR","Within",0.373305162995327,NA,50
"Annual","BOLIVIA_EL SALVADOR","BOLIVIA","EL SALVADOR","Between",0.071851502946517,NA,50
"Annual","BOLIVIA_FIJI","BOLIVIA","FIJI","Within",0.340828264797833,NA,50
"Annual","BOLIVIA_FRENCH GUIANA","BOLIVIA","FRENCH GUIANA","Between",0.317406465917633,NA,50
"Annual","BOLIVIA_FRENCH POLYNESIA","BOLIVIA","FRENCH POLYNESIA","Within",0.243246483279071,NA,50
"Annual","BOLIVIA_GUADELOUPE","BOLIVIA","GUADELOUPE","Between",0.177171374846543,NA,50
"Annual","BOLIVIA_GUATEMALA","BOLIVIA","GUATEMALA","Between",0.0592415317102645,NA,50
"Annual","BOLIVIA_GUYANA","BOLIVIA","GUYANA","Between",0.144961136110836,NA,50
"Annual","BOLIVIA_HONDURAS","BOLIVIA","HONDURAS","Between",0.0920947917468941,NA,50
"Annual","BOLIVIA_INDIA","BOLIVIA","INDIA","Between",0.119013205624279,NA,50
"Annual","BOLIVIA_INDONESIA","BOLIVIA","INDONESIA","Between",0.414350632204816,NA,50
"Annual","BOLIVIA_JAMAICA","BOLIVIA","JAMAICA","Between",0.162528906372032,NA,50
"Annual","BOLIVIA_LAO PEOPLE'S DEMOCRATIC REPUBLIC","BOLIVIA","LAO PEOPLE'S DEMOCRATIC REPUBLIC","Between",0.0512359634939528,NA,50
"Annual","BOLIVIA_MALAYSIA","BOLIVIA","MALAYSIA","Between",0.15355612102862,NA,50
"Annual","BOLIVIA_MALDIVES","BOLIVIA","MALDIVES","Within",0.10460067530509,NA,50
"Annual","BOLIVIA_MARTINIQUE","BOLIVIA","MARTINIQUE","Between",0.260005883879016,NA,50
"Annual","BOLIVIA_MEXICO","BOLIVIA","MEXICO","Between",0.0771207505074095,NA,50
"Annual","BOLIVIA_MYANMAR","BOLIVIA","MYANMAR","Between",0.0887341152034902,NA,50
"Annual","BOLIVIA_NEW CALEDONIA","BOLIVIA","NEW CALEDONIA","Within",0.338095514704619,NA,50
"Annual","BOLIVIA_NICARAGUA","BOLIVIA","NICARAGUA","Between",0.0851202901160417,NA,50
"Annual","BOLIVIA_PALAU","BOLIVIA","PALAU","Between",0.117675149727708,NA,50
"Annual","BOLIVIA_PANAMA","BOLIVIA","PANAMA","Between",0.175138186348559,NA,50
"Annual","BOLIVIA_PARAGUAY","BOLIVIA","PARAGUAY","Within",0.343982924961821,NA,50
"Annual","BOLIVIA_PERU","BOLIVIA","PERU","Within",0.445698316519613,NA,50
"Annual","BOLIVIA_PHILIPPINES","BOLIVIA","PHILIPPINES","Between",0.0618703870334001,NA,50
"Annual","BOLIVIA_PUERTO RICO","BOLIVIA","PUERTO RICO","Between",0.211124422125311,NA,50
"Annual","BOLIVIA_SINGAPORE","BOLIVIA","SINGAPORE","Between",0.0900811820462855,NA,50
"Annual","BOLIVIA_SRI LANKA","BOLIVIA","SRI LANKA","Between",0.144437105901565,NA,50
"Annual","BOLIVIA_SURINAME","BOLIVIA","SURINAME","Between",0.250098748915934,NA,50
"Annual","BOLIVIA_TAIWAN","BOLIVIA","TAIWAN","Between",0.110087022294789,NA,50
"Annual","BOLIVIA_THAILAND","BOLIVIA","THAILAND","Between",0.0806173088144283,NA,50
"Annual","BOLIVIA_TRINIDAD AND TOBAGO","BOLIVIA","TRINIDAD AND TOBAGO","Between",0.131272804583005,NA,50
"Annual","BOLIVIA_VANUATU","BOLIVIA","VANUATU","Within",0.268403654909223,NA,50
"Annual","BOLIVIA_VENEZUELA","BOLIVIA","VENEZUELA","Between",0.231236911586329,NA,50
"Annual","BOLIVIA_VIET NAM","BOLIVIA","VIET NAM","Between",0.0755696564202892,NA,50
"Annual","BRAZIL_CAMBODIA","BRAZIL","CAMBODIA","Between",0.20000108709099,NA,50
"Annual","BRAZIL_CHINA","BRAZIL","CHINA","Between",0.0257138336114596,NA,50
"Annual","BRAZIL_COLOMBIA","BRAZIL","COLOMBIA","Between",0.214053581964046,NA,50
"Annual","BRAZIL_COSTA RICA","BRAZIL","COSTA RICA","Between",0.124942211313755,NA,50
"Annual","BRAZIL_DOMINICAN REPUBLIC","BRAZIL","DOMINICAN REPUBLIC","Between",0.0691132393118953,NA,50
"Annual","BRAZIL_ECUADOR","BRAZIL","ECUADOR","Within",0.467816032787071,NA,50
"Annual","BRAZIL_EL SALVADOR","BRAZIL","EL SALVADOR","Between",0.141952136511023,NA,50
"Annual","BRAZIL_FIJI","BRAZIL","FIJI","Within",0.398287975292853,NA,50
"Annual","BRAZIL_FRENCH GUIANA","BRAZIL","FRENCH GUIANA","Between",0.344022304444157,NA,50
"Annual","BRAZIL_FRENCH POLYNESIA","BRAZIL","FRENCH POLYNESIA","Within",0.190052189328365,NA,50
"Annual","BRAZIL_GUADELOUPE","BRAZIL","GUADELOUPE","Between",0.123338711663263,NA,50
"Annual","BRAZIL_GUATEMALA","BRAZIL","GUATEMALA","Between",0.112003713626691,NA,50
"Annual","BRAZIL_GUYANA","BRAZIL","GUYANA","Between",0.167378288161808,NA,50
"Annual","BRAZIL_HONDURAS","BRAZIL","HONDURAS","Between",0.136155451170037,NA,50
"Annual","BRAZIL_INDIA","BRAZIL","INDIA","Between",0.0674613697823283,NA,50
"Annual","BRAZIL_INDONESIA","BRAZIL","INDONESIA","Between",0.503920949715295,NA,50
"Annual","BRAZIL_JAMAICA","BRAZIL","JAMAICA","Between",0.0980810122617236,NA,50
"Annual","BRAZIL_LAO PEOPLE'S DEMOCRATIC REPUBLIC","BRAZIL","LAO PEOPLE'S DEMOCRATIC REPUBLIC","Between",0.16620026210592,NA,50
"Annual","BRAZIL_MALAYSIA","BRAZIL","MALAYSIA","Between",0.130244424039367,NA,50
"Annual","BRAZIL_MALDIVES","BRAZIL","MALDIVES","Within",0.131847654260833,NA,50
"Annual","BRAZIL_MARTINIQUE","BRAZIL","MARTINIQUE","Between",0.226433170239974,NA,50
"Annual","BRAZIL_MEXICO","BRAZIL","MEXICO","Between",0.0522288224119468,NA,50
"Annual","BRAZIL_MYANMAR","BRAZIL","MYANMAR","Between",0.21729383314161,NA,50
"Annual","BRAZIL_NEW CALEDONIA","BRAZIL","NEW CALEDONIA","Within",0.405901117027233,NA,50
"Annual","BRAZIL_NICARAGUA","BRAZIL","NICARAGUA","Between",0.058970476399624,NA,50
"Annual","BRAZIL_PALAU","BRAZIL","PALAU","Between",0.160220254368742,NA,50
"Annual","BRAZIL_PANAMA","BRAZIL","PANAMA","Between",0.0874984908040653,NA,50
"Annual","BRAZIL_PARAGUAY","BRAZIL","PARAGUAY","Within",0.289586423273414,NA,50
"Annual","BRAZIL_PERU","BRAZIL","PERU","Within",0.542598268061502,NA,50
"Annual","BRAZIL_PHILIPPINES","BRAZIL","PHILIPPINES","Between",0.0811111804594568,NA,50
"Annual","BRAZIL_PUERTO RICO","BRAZIL","PUERTO RICO","Between",0.121487032490763,NA,50
"Annual","BRAZIL_SINGAPORE","BRAZIL","SINGAPORE","Between",0.135267036222631,NA,50
"Annual","BRAZIL_SRI LANKA","BRAZIL","SRI LANKA","Between",0.142467530666827,NA,50
"Annual","BRAZIL_SURINAME","BRAZIL","SURINAME","Between",0.199446971974852,NA,50
"Annual","BRAZIL_TAIWAN","BRAZIL","TAIWAN","Between",0.0437335598895568,NA,50
"Annual","BRAZIL_THAILAND","BRAZIL","THAILAND","Between",0.224253668346237,NA,50
"Annual","BRAZIL_TRINIDAD AND TOBAGO","BRAZIL","TRINIDAD AND TOBAGO","Between",0.0664785136107377,NA,50
"Annual","BRAZIL_VANUATU","BRAZIL","VANUATU","Within",0.26988333664781,NA,50
"Annual","BRAZIL_VENEZUELA","BRAZIL","VENEZUELA","Between",0.171044232452416,NA,50
"Annual","BRAZIL_VIET NAM","BRAZIL","VIET NAM","Between",0.072718963210414,NA,50
"Annual","CAMBODIA_CHINA","CAMBODIA","CHINA","Within",0.478335538125721,NA,50
"Annual","CAMBODIA_COLOMBIA","CAMBODIA","COLOMBIA","Within",0.173342488351753,NA,50
"Annual","CAMBODIA_COSTA RICA","CAMBODIA","COSTA RICA","Within",0.416925287413795,NA,50
