"od_region","Year","fit","lwr","upr"
"North & Central America",2001,82316.5074127394,57417.4701786288,118012.99102087
"North & Central America",2002,90003.5939288395,63993.0390049709,126586.376363188
"North & Central America",2003,98393.110782817,71279.948307635,135819.462266399
"North & Central America",2004,107559.039348434,79352.2223389885,145792.349660177
"North & Central America",2005,117579.136857069,88285.5485988641,156592.484766314
"North & Central America",2006,128546.653912861,98164.3011621793,168332.500069376
"North & Central America",2007,140579.734974575,109086.893222693,181164.402997321
"North & Central America",2008,153753.608859148,121109.998163502,195195.876440331
"North & Central America",2009,168120.224316544,134256.975200405,210524.702959044
"North & Central America",2010,183798.196849767,148584.196917835,227357.806994148
"North & Central America",2011,200914.889280201,164131.734505672,245941.425380359
"North & Central America",2012,219564.874752209,180885.076500929,266515.818537996
"North & Central America",2013,239886.497549555,198836.257629194,289411.661599004
"North & Central America",2014,262013.884751629,217948.575116898,314988.413050273
"North & Central America",2015,286063.179268046,238153.651727335,343610.698132954
"North & Central America",2016,312249.762733947,259461.275210044,375778.290029895
"North & Central America",2017,340757.555288986,281861.916397205,411959.561514135
"North & Central America",2018,371703.885012398,305305.063860497,452543.355771003
"North & Central America",2019,405322.587955353,329852.050356212,498060.873441319
"North & Central America",2020,440871.768683247,354789.526267317,547840.062999626
"North & Central America",2021,478473.462763629,380134.959761078,602251.512759861
"North & Central America",2022,520059.132459572,407332.223241986,663982.581839415
"North & Central America",2023,566086.162152941,436605.112460662,733966.538263839
"North & Central America",2024,611796.783388291,464197.177555509,806328.263638571
"Pacific Islands",1990,4003.77604461128,1524.30029177584,10516.446596443
"Pacific Islands",1991,4230.43898866811,1673.19259054144,10696.0873111755
"Pacific Islands",1992,4465.76144256647,1834.34078054102,10872.0394124539
"Pacific Islands",1993,4710.916798971,2008.90848661888,11047.1617968915
"Pacific Islands",1994,4969.4183024662,2199.15340258336,11229.3750112551
"Pacific Islands",1995,5245.90630725813,2408.05179868033,11428.1316538174
"Pacific Islands",1996,5541.58732120266,2637.21384181669,11644.558189244
"Pacific Islands",1997,5852.15547104579,2885.54838608589,11868.7053810754
"Pacific Islands",1998,6178.77889657038,3154.35204542291,12103.058917631
"Pacific Islands",1999,6526.10880351084,3446.67634573325,12356.8597231316
"Pacific Islands",2000,6894.67413355411,3763.41801825764,12631.2121526984
"Pacific Islands",2001,7283.91858854184,4104.57737749362,12925.9275986417
"Pacific Islands",2002,7693.88468002313,4470.02583812012,13242.8454808193
"Pacific Islands",2003,8123.66042098709,4858.48996612522,13583.2036487963
"Pacific Islands",2004,8577.92555992445,5271.33442104461,13958.6679641972
"Pacific Islands",2005,9060.77639445416,5708.94105725486,14380.5423890248
"Pacific Islands",2006,9585.65105097572,6176.84512712717,14875.6694040356
"Pacific Islands",2007,10159.7166378224,6675.87702921224,15461.6152618115
"Pacific Islands",2008,10783.4712547399,7201.25511347591,16147.6368312792
"Pacific Islands",2009,11438.7206841483,7734.09344254092,16917.862689667
"Pacific Islands",2010,12115.1246855447,8259.26359870214,17771.1056672605
"Pacific Islands",2011,12819.6882826899,8773.09740186734,18732.7690708592
"Pacific Islands",2012,13571.1843300634,9280.62145276054,19845.3352567003
"Pacific Islands",2013,14368.0680930215,9774.04169043102,21121.3935098939
"Pacific Islands",2014,15194.0960571093,10237.1397721803,22551.2750758793
"Pacific Islands",2015,16059.6551892553,10673.6552077938,24163.4678820661
"Pacific Islands",2016,16979.8950470702,11091.7425081539,25993.82699315
"Pacific Islands",2017,17958.1695167369,11492.4936170841,28061.4341096919
"Pacific Islands",2018,18979.0063502164,11865.7935426706,30356.3921575267
"Pacific Islands",2019,20034.0426501256,12207.278348727,32878.9803460903
"Pacific Islands",2020,21085.303732154,12495.8881695087,35578.9062326945
"Pacific Islands",2021,22157.8405245763,12749.5857717667,38508.6939686923
"Pacific Islands",2022,23296.0445241289,12995.447508658,41761.2160034218
