"threshold","variant","Cycle","Pair_Type","Weighting","N_pairs","Start_Year","End_Year","Sync_Start","Sync_End","Pct_Change_Per_Year","CI_Lower","CI_Upper","Trend_P","Interaction_P","Diff_vs_Americas","Diff_CI_Lower","Diff_CI_Upper","Pct_Change_Cum","Cum_CI_Lower","Cum_CI_Upper","m","Within_SD_logitslope","Between_SD_logitslope","FMI","N_Inc","N_Tot","Pct_Inc"
"none","fixed_support","Annual","Within Americas","pairs",281,1992,2022,0.194108325763219,0.186231943787478,-0.135257498525995,-0.924308259596857,0.92380841549257,0.777691811898619,NA,NA,NA,NA,-4.05772495577985,-27.7292477879057,27.7142524647771,50,0.00523857702202459,0.00297085237650799,0.247014420373108,1,11,9.09090909090909
"none","fixed_support","Annual","Within Asia","pairs",189,1992,2022,0.176233302722141,0.198570522910822,0.422493362371657,-0.428361840512267,1.54105855008573,0.377365170595885,0.409004835056066,0.557750860897652,-0.811358054738687,1.86279794272546,12.6748008711497,-12.850855215368,46.2317565025718,50,0.00440140898285387,0.00332696369634277,0.368204650512508,5,82,6.09756097560976
"none","fixed_support","Annual","Americas-Asia","pairs",492,1992,2022,0.160261699318072,0.184511247500723,0.504373955969833,-0.22756969812513,1.41286715637733,0.183934393256178,0.306559667754,0.639631454495828,-0.60624614815992,1.75682276134808,15.131218679095,-6.82709094375391,42.3860146913198,50,0.00336657522883191,0.00258674949289897,0.375853613718871,4,56,7.14285714285714
"none","fixed_support","Multiannual","Global","pairs",795,1992,2022,0.127382926609528,0.328572622995201,5.26469550618267,3.63164212697564,7.17197264157832,3.12027283530956e-20,NA,NA,NA,NA,157.94086518548,108.949263809269,215.15917924735,50,0.00338049184468663,0.00240303272279372,0.340116150709261,30,110,27.2727272727273
"none","fixed_support","Multiannual","Within Americas","pairs",221,1992,2022,0.126130335365967,0.387428712979092,6.90551237746701,3.42013004325559,12.7592930733778,2.58932111564671e-08,NA,NA,NA,NA,207.16537132401,102.603901297668,382.778792201333,50,0.00709357224582421,0.00496435140228155,0.333141584213854,2,11,18.1818181818182
"none","fixed_support","Multiannual","Within Asia","pairs",167,1992,2022,0.155303519179549,0.321524295871028,3.56765422036377,1.64931252877769,6.31204008535937,7.9325743884843e-06,0.112297950253775,-3.33785815710324,-9.51487039435037,1.14233806907747,107.029626610913,49.4793758633308,189.361202560781,50,0.00585307796999507,0.00379670112250681,0.300300443131788,12,55,21.8181818181818
"none","fixed_support","Multiannual","Americas-Asia","pairs",407,1992,2022,0.116606719498062,0.299505976172835,5.22837956114564,3.17289817127943,7.90536074357286,3.95715085762149e-12,0.324686298470213,-1.67713281632137,-7.74920660840489,2.74823855661935,156.851386834369,95.1869451383831,237.160822307186,50,0.00465231164634647,0.00295341912066727,0.291316488326195,16,44,36.3636363636364
"20%","fixed_support","Annual","Global","pairs",962,1992,2022,0.129562859900304,0.189754761544643,1.54858940519055,0.6467249901371,2.58584898441823,0.000144291021764167,NA,NA,NA,NA,46.4576821557164,19.401749704113,77.5754695325469,50,0.00321216321659332,0.0023554169032436,0.354194744200075,17,149,11.4093959731544
"20%","fixed_support","Annual","Within Americas","pairs",281,1992,2022,0.138608679811465,0.195359029664463,1.36476181073673,-0.151485442088668,3.80540422007369,0.0842681617509348,NA,NA,NA,NA,40.942854322102,-4.54456326266004,114.162126602211,50,0.0067256879095598,0.00415833512381416,0.280529582171139,1,11,9.09090909090909
"20%","fixed_support","Annual","Within Asia","pairs",189,1992,2022,0.154399395565809,0.190810395094134,0.786078196634001,-0.329858979213651,2.45101826563543,0.21065768850047,0.62152921997318,-0.578683614102733,-3.26394500462086,1.64503193805799,23.58234589902,-9.89576937640953,73.5305479690628,50,0.00588805272053507,0.00337761172027675,0.251296353258259,10,82,12.1951219512195
"20%","fixed_support","Annual","Americas-Asia","pairs",492,1992,2022,0.114855582185229,0.186148432108621,2.06905775545784,0.839108099882564,3.7033790797195,0.000398393270698976,0.569648477109445,0.704295944721103,-1.95999610482157,2.82407764284452,62.0717326637351,25.1732429964769,111.101372391585,50,0.00440369093950428,0.0029208547740037,0.309740910751422,6,56,10.7142857142857
"20%","fixed_support","Multiannual","Global","pairs",795,1992,2022,0.0654884793282129,0.291990294594193,11.52883772278,7.72258780627598,16.4357975380745,4.22879768193987e-21,NA,NA,NA,NA,345.8651316834,231.677634188279,493.073926142235,50,0.00437662489942977,0.00396898794313468,0.456180006889859,30,110,27.2727272727273
"20%","fixed_support","Multiannual","Within Americas","pairs",221,1992,2022,0.0348830675060257,0.322695389007531,27.5025814412479,12.4667191446961,56.6101562041236,1.07410066660757e-11,NA,NA,NA,NA,825.077443237436,374.001574340882,1698.30468612371,50,0.00932765788284862,0.00769421279610739,0.409694520403676,0,11,0
"20%","fixed_support","Multiannual","Within Asia","pairs",167,1992,2022,0.112830253141553,0.309591355588202,5.81289435437137,2.67121498738687,10.839741885102,1.42894633873054e-06,0.00315054597041079,-21.6896870868765,-51.1561114789625,-5.7316060308262,174.386830631141,80.1364496216062,325.192256553059,50,0.00740389783817566,0.00440398007911813,0.265184590138154,13,55,23.6363636363636
"20%","fixed_support","Multiannual","Americas-Asia","pairs",407,1992,2022,0.0626818940355238,0.268095446802185,10.9235984823223,6.32837725930812,18.3227601412401,1.43685776332839e-12,0.0292524519720308,-16.5789829589255,-45.6014847350763,-0.499626914336648,327.70795446967,189.851317779244,549.682804237202,50,0.00601682236237141,0.00474688018714713,0.388329218012971,17,44,38.6363636363636
"30%","fixed_support","Annual","Global","pairs",962,1992,2022,0.146609986921582,0.189627968702522,0.978059377904672,0.268130876694181,1.81052015318718,0.00400463446484609,NA,NA,NA,NA,29.3417813371402,8.04392630082543,54.3156045956154,50,0.0028835281954176,0.00217928537228713,0.368133481567498,16,149,10.738255033557
"30%","fixed_support","Annual","Within Americas","pairs",281,1992,2022,0.167349854394841,0.191604047994423,0.483103569411286,-0.600908865708963,2.06531511321921,0.435424157367854,NA,NA,NA,NA,14.4931070823386,-18.0272659712689,61.9594533965764,50,0.00607541956670123,0.00352956483434462,0.256097775305073,1,11,9.09090909090909
"30%","fixed_support","Annual","Within Asia","pairs",189,1992,2022,0.158064223485049,0.196844270573983,0.817812030955914,-0.242361252741596,2.26916955487977,0.144349436039407,0.714944095859186,0.334708461544627,-1.55303968680853,2.09496894156611,24.5343609286774,-7.27083758224788,68.0750866463932,50,0.00521388790070909,0.00309693387001659,0.264633355273485,9,82,10.9756097560976
"30%","fixed_support","Annual","Americas-Asia","pairs",492,1992,2022,0.13036455303849,0.185727238347379,1.41558636962058,0.390844816352365,2.8027833214919,0.00469468273005343,0.305338992953314,0.93248280020929,-0.921902415553686,2.65436298400478,42.4675910886173,11.725344490571,84.0834996447569,50,0.00394201351609981,0.00291402877756943,0.357896083189315,6,56,10.7142857142857
"30%","fixed_support","Multiannual","Global","pairs",795,1992,2022,0.0773437576086574,0.309000259499885,9.98384825759991,6.83205106416836,13.7850552154663,5.10885676589561e-26,NA,NA,NA,NA,299.515447727997,204.961531925051,413.55165646399,50,0.00393473837769459,0.00315634762548093,0.396264308435516,33,110,30
"30%","fixed_support","Multiannual","Within Americas","pairs",221,1992,2022,0.040815633616778,0.362274043548312,26.2528824902192,14.1285697422328,45.7024642897927,9.34909495460293e-18,NA,NA,NA,NA,787.586474706575,423.857092266983,1371.07392869378,50,0.00826494882635269,0.00514104592232137,0.282979218755834,2,11,18.1818181818182
"30%","fixed_support","Multiannual","Within Asia","pairs",167,1992,2022,0.13687238484013,0.294241620801607,3.83250515057728,1.59152792818718,7.06777647285377,3.77913856873379e-05,1.74915986264696e-05,-22.4203773396419,-41.7798674277052,-9.90609833892448,114.975154517318,47.7458378456154,212.033294185613,50,0.00678935784973094,0.00375948337726637,0.238241083826536,13,55,23.6363636363636
"30%","fixed_support","Multiannual","Americas-Asia","pairs",407,1992,2022,0.0727526879638158,0.286128481583201,9.77630745068415,5.82056979432477,15.3104834106896,3.59257407540449e-15,0.00309064807359852,-16.476575039535,-35.9032642545373,-4.06828996702438,293.289223520524,174.617093829743,459.314502320687,50,0.00542529976027854,0.00382416247545273,0.336336139080049,18,44,40.9090909090909
"50%","fixed_support","Annual","Global","pairs",962,1992,2022,0.165426123449563,0.187882343753173,0.452492424520376,-0.13720089860422,1.15103044940179,0.110861219155748,NA,NA,NA,NA,13.5747727356113,-4.11602695812659,34.5309134820537,50,0.00273244654445382,0.00198313821265591,0.349501523089334,14,149,9.39597315436242
"50%","fixed_support","Annual","Within Americas","pairs",281,1992,2022,0.20048285261964,0.182322201117643,-0.30194854181123,-1.10763729012304,0.909506196983064,0.569531772560306,NA,NA,NA,NA,-9.0584562543369,-33.2291187036912,27.2851859094919,50,0.00576388707626648,0.00371482574767614,0.297598899894188,1,11,9.09090909090909
"50%","fixed_support","Annual","Within Asia","pairs",189,1992,2022,0.159695504006538,0.204300619523122,0.931045111843157,-0.102933438495571,2.29624580215554,0.0846244337399326,0.118777489615132,1.23299365365439,-0.308736978440817,2.8251521115177,27.9313533552947,-3.08800315486712,68.8873740646663,50,0.00491814774670597,0.00305574575355938,0.282516296382879,7,82,8.53658536585366
"50%","fixed_support","Annual","Americas-Asia","pairs",492,1992,2022,0.147605282347815,0.184750933102895,0.838850980674944,0.0106469907868399,1.90738316541322,0.0502537679100065,0.115523517052718,1.14079952248617,-0.304072227068257,2.4851718383233,25.1655294202483,0.319409723605198,57.2214949623965,50,0.00372975432863595,0.00261104979404093,0.333282178177524,6,56,10.7142857142857
"50%","fixed_support","Multiannual","Global","pairs",795,1992,2022,0.125247030976927,0.331822321164409,5.49780937124007,3.89887813678613,7.37774403315447,2.25643077634815e-23,NA,NA,NA,NA,164.934281137202,116.966344103584,221.332320994634,50,0.00333938713328633,0.00214089158394684,0.295394311476721,32,110,29.0909090909091
"50%","fixed_support","Multiannual","Within Americas","pairs",221,1992,2022,0.121382524024513,0.38971386641006,7.36875275201229,3.88399980158376,12.7473768339418,4.15999597715677e-10,NA,NA,NA,NA,221.062582560369,116.519994047513,382.421305018253,50,0.00693477022187622,0.00405902647548041,0.258955030481272,3,11,27.2727272727273
"50%","fixed_support","Multiannual","Within Asia","pairs",167,1992,2022,0.149673841158132,0.328065114782103,3.97288914445864,1.96430538306169,6.99271341564255,1.25798430496278e-06,0.109969866292602,-3.39586360755364,-9.23071200872746,1.18073959844374,119.186674333759,58.9291614918507,209.781402469277,50,0.00588977811053691,0.00364918264970601,0.281379805267775,12,55,21.8181818181818
"50%","fixed_support","Multiannual","Americas-Asia","pairs",407,1992,2022,0.117322654407448,0.301929009042926,5.24497607524749,3.2337896079343,7.931126788634,4.71681878066268e-13,0.218891982387641,-2.12377667676479,-7.69810828282105,2.18586526529469,157.349282257425,97.0136882380289,237.93380365902,50,0.00462176751397691,0.00265593761176464,0.251965616100059,17,44,38.6363636363636
