"threshold","country","ann_years_kept","mlt_years_kept","ann_mean_frac_valid","mlt_mean_frac_valid","n_years"
"50%","LAO PEOPLE'S DEMOCRATIC REPUBLIC",26,23,0.716190476190476,0.643154761904762,35
"50%","MALAYSIA",30,27,0.846666666666667,0.739285714285714,35
"50%","MALDIVES",20,14,0.546666666666667,0.417261904761905,35
"50%","MARTINIQUE",12,4,0.270952380952381,0.116964285714286,35
"50%","MEXICO",16,13,0.444761904761905,0.356845238095238,35
"50%","MYANMAR",6,6,0.171428571428571,0.165178571428571,35
"50%","NEW CALEDONIA",14,6,0.374285714285714,0.166666666666667,35
"50%","NICARAGUA",23,20,0.644761904761905,0.557142857142857,35
"50%","PALAU",17,0,0.418095238095238,NA,35
"50%","PANAMA",14,8,0.347142857142857,0.206547619047619,35
"50%","PARAGUAY",16,10,0.432380952380952,0.257142857142857,35
"50%","PERU",24,21,0.673333333333333,0.585714285714286,35
"50%","PHILIPPINES",22,19,0.628095238095238,0.55,35
"50%","PUERTO RICO",10,7,0.273333333333333,0.185714285714286,35
"50%","SINGAPORE",31,27,0.873333333333333,0.739285714285714,35
"50%","SRI LANKA",23,20,0.616190476190476,0.563095238095238,35
"50%","SURINAME",10,4,0.260952380952381,0.10327380952381,35
"50%","TAIWAN",27,23,0.744761904761905,0.648511904761905,35
"50%","THAILAND",31,27,0.873333333333333,0.739285714285714,35
"50%","TRINIDAD AND TOBAGO",4,0,0.0847619047619048,0.0101190476190476,35
"50%","VANUATU",20,13,0.518095238095238,0.342857142857143,35
"50%","VENEZUELA",14,11,0.387619047619048,0.291964285714286,35
"50%","VIET NAM",26,25,0.730476190476191,0.686607142857143,35
